time_utc,mode,event,signal_side,position_side,position_size,position_entry_px,target_bid,target_ask,target_mid,target_bid_sz,target_ask_sz,target_book_time_ms,target_recv_time_ms,target_oracle,target_mark,reference_bid,reference_ask,reference_mid,reference_bid_sz,reference_ask_sz,reference_book_time_ms,reference_recv_time_ms,reference_oracle,reference_mark,gross_edge_bps,oracle_gap_bps,target_spread_bps,target_book_age_ms,reference_book_age_ms
2026-08-24T10:05:47.904Z,dry_run,snapshot,,,,,88.702,88.724,88.7130000000,0.98,0.67,1787565947521,1787565947904,,,,,,,,,,,,,,,,
2026-08-24T10:05:49.105Z,dry_run,snapshot,,,,,88.702,88.724,88.7130000000,0.98,0.67,1787565947521,1787565947904,89.3519,88.8166,88.606,88.685,88.6455000000,15.77,4.04,1787565947521,1787565947937,89.235,88.781,,,,,
2026-08-24T10:05:50.117Z,dry_run,snapshot,,,,,88.702,88.724,88.7130000000,0.98,0.67,1787565947521,1787565947904,89.3519,88.8166,88.606,88.685,88.6455000000,15.77,4.04,1787565947521,1787565947937,89.235,88.781,,,,,
2026-08-24T10:05:51.138Z,dry_run,snapshot,,,,,88.702,88.724,88.7130000000,0.98,0.67,1787565947521,1787565947904,89.3519,88.8166,88.606,88.685,88.6455000000,15.77,4.04,1787565947521,1787565947937,89.235,88.781,,,,,
2026-08-24T10:05:52.197Z,dry_run,snapshot,,,,,88.716,88.731,88.7235000000,0.97,1.51,1787565951260,1787565951654,89.3506,88.813,88.643,88.646,88.6445000000,2.63,0.13,1787565951260,1787565951655,89.235,88.778,,,,,
2026-08-24T10:05:53.214Z,dry_run,snapshot,,,,,88.716,88.731,88.7235000000,0.97,1.51,1787565951260,1787565951654,89.3506,88.813,88.643,88.646,88.6445000000,2.63,0.13,1787565951260,1787565951655,89.235,88.778,,,,,
2026-08-24T10:05:54.220Z,dry_run,snapshot,,,,,88.716,88.731,88.7235000000,0.97,1.51,1787565951260,1787565951654,89.3506,88.813,88.643,88.646,88.6445000000,2.63,0.13,1787565951260,1787565951655,89.235,88.778,,,,,
2026-08-24T10:14:35.851Z,live,snapshot,,,,,88.985,89.064,89.0245000000,20.83,0.83,1787566473722,1787566474577,,,,,,,,,,,,,,,,
2026-08-24T10:14:37.008Z,live,snapshot,,,,,88.985,89.064,89.0245000000,20.83,0.83,1787566473722,1787566474577,89.3261,89.0923,89.004,89.094,89.0490000000,12.41,0.44,1787566474244,1787566476501,89.188,89.038,,,,,
2026-08-24T10:14:38.119Z,live,snapshot,,,,,88.985,89.057,89.0210000000,20.83,487.54,1787566475334,1787566477556,89.3261,89.0923,89.004,89.094,89.0490000000,12.41,0.44,1787566475334,1787566477811,89.188,89.038,,,,,
2026-08-24T10:14:39.337Z,live,snapshot,,,,,88.985,89.057,89.0210000000,20.83,487.54,1787566475334,1787566477556,89.3261,89.0923,89.004,89.094,89.0490000000,12.41,0.44,1787566475334,1787566477811,89.188,89.038,,,,,
2026-08-24T10:14:40.402Z,live,snapshot,,,,,88.985,89.057,89.0210000000,20.83,487.54,1787566475334,1787566477556,89.3254,89.0902,89.004,89.094,89.0490000000,12.41,0.44,1787566475334,1787566477811,89.188,89.038,,,,,
2026-08-24T10:14:42.208Z,live,snapshot,,,,,88.985,89.057,89.0210000000,20.83,487.54,1787566475334,1787566477556,89.3254,89.0902,89.004,89.094,89.0490000000,12.41,0.44,1787566475334,1787566477811,89.187,89.039,,,,,
2026-08-24T10:14:43.539Z,live,snapshot,,,,,88.985,89.056,89.0205000000,20.28,0.82,1787566480715,1787566482758,89.3254,89.0889,89.02,89.094,89.0570000000,7.52,11.23,1787566480715,1787566483254,89.187,89.039,,,,,
2026-08-24T10:14:44.584Z,live,snapshot,,,,,88.985,89.056,89.0205000000,20.28,0.82,1787566480715,1787566482758,89.3254,89.0889,89.02,89.094,89.0570000000,7.52,11.23,1787566480715,1787566483254,89.187,89.039,,,,,
2026-08-24T10:14:45.836Z,live,snapshot,,,,,88.985,89.056,89.0205000000,20.28,0.82,1787566480715,1787566482758,89.3247,89.0868,89.02,89.094,89.0570000000,7.52,11.23,1787566480715,1787566483254,89.187,89.039,,,,,
2026-08-24T10:14:46.991Z,live,snapshot,,,,,88.967,89.074,89.0205000000,0.53,0.66,1787566485810,1787566486693,89.3247,89.0868,89.02,89.094,89.0570000000,7.52,11.23,1787566480715,1787566483254,89.187,89.039,,,,,
