time_utc,time_ms,mode,strategy_mode,event,reason,target_coin,binance_symbol,hl_connected,binance_connected,hl_bid,hl_ask,hl_mid,hl_spread_bps,hl_book_time_ms,hl_recv_time_ms,binance_bid,binance_ask,binance_mid,binance_book_time_ms,binance_recv_time_ms,basis_raw,basis_ema,fair_px,binance_ret_1s_bps,binance_ret_5s_bps,binance_ret_10s_bps,io_deviation_bps,rapid_move_side,rapid_move_bps,inventory,avg_entry_px,realized_pnl,unrealized_pnl,total_fees,active_bid_px,active_bid_sz,active_bid_oid,active_bid_cloid,active_ask_px,active_ask_sz,active_ask_oid,active_ask_cloid,desired_bid_px,desired_bid_sz,desired_ask_px,desired_ask_sz,block_bid,block_ask,quoting_allowed,raw_json
2026-09-03T14:08:33.020Z,1788444513020,live,binance_basis,snapshot,,io:OAI,OPENAIUSDT,false,false,,,,,,,,,,,,,,,,,,,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,false,false,false,
2026-09-03T14:08:33.600Z,1788444513600,live,binance_basis,snapshot,,io:OAI,OPENAIUSDT,true,false,,,,,,,,,,,,,,,,,,,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,false,false,false,
2026-09-03T14:08:34.133Z,1788444514133,live,binance_basis,snapshot,,io:OAI,OPENAIUSDT,true,true,1391.0,1391.2,1391.1,1.437711,1788444513242,1788444513657,,,,,,,,,,,,,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,false,false,false,
2026-09-03T14:08:34.640Z,1788444514640,live,binance_basis,snapshot,,io:OAI,OPENAIUSDT,true,true,1391.0,1391.2,1391.1,1.437711,1788444513242,1788444513657,,,,,,,,,,,,,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,,,,,false,false,false,
2026-09-03T14:08:35.143Z,1788444515143,live,binance_basis,snapshot,,io:OAI,OPENAIUSDT,true,true,1391.0,1391.2,1391.1,1.437711,1788444513242,1788444513657,1312.8,1313.38,1313.0900000000001,1788444515032,1788444515143,0.0594094845,0.0594094845,1391.1000000000,,,,0.000000,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,1391.0,0.01,1391.2,0.01,false,false,false,
2026-09-03T14:08:35.681Z,1788444515681,live,binance_basis,snapshot,,io:OAI,OPENAIUSDT,true,true,1391.0,1391.2,1391.1,1.437711,1788444513242,1788444513657,1312.8,1313.38,1313.0900000000001,1788444515315,1788444515478,0.0594094845,0.0594094845,1391.1000000000,,,,0.000000,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,1391.0,0.01,1391.2,0.01,false,false,false,
2026-09-03T14:08:36.231Z,1788444516231,live,binance_basis,snapshot,,io:OAI,OPENAIUSDT,true,true,1391.0,1391.2,1391.1,1.437711,1788444515365,1788444515806,1312.8,1313.38,1313.0900000000001,1788444515315,1788444515478,0.0594094845,0.0594094845,1391.1000000000,0.000000,,,0.000000,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,1391.0,0.01,1391.2,0.01,false,false,true,
2026-09-03T14:08:36.767Z,1788444516767,live,binance_basis,snapshot,,io:OAI,OPENAIUSDT,true,true,1391.0,1391.2,1391.1,1.437711,1788444515365,1788444515806,1312.8,1313.38,1313.0900000000001,1788444515315,1788444515478,0.0594094845,0.0594094845,1391.1000000000,0.000000,,,0.000000,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,1391.0,0.01,1391.2,0.01,false,false,true,
2026-09-03T14:08:37.354Z,1788444517354,live,binance_basis,snapshot,,io:OAI,OPENAIUSDT,true,true,1391.0,1391.2,1391.1,1.437711,1788444515365,1788444515806,1312.8,1313.38,1313.0900000000001,1788444515315,1788444515478,0.0594094845,0.0594094845,1391.1000000000,0.000000,,,0.000000,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,1391.0,0.01,1391.2,0.01,false,false,false,
2026-09-03T14:08:37.860Z,1788444517860,live,binance_basis,snapshot,,io:OAI,OPENAIUSDT,true,true,1391.0,1391.2,1391.1,1.437711,1788444515365,1788444515806,1312.8,1313.38,1313.0900000000001,1788444515315,1788444515478,0.0594094845,0.0594094845,1391.1000000000,0.000000,,,0.000000,,,0.0000000000,,0.0000000000,0.0000000000,0.0000000000,,,,,,,,,1391.0,0.01,1391.2,0.01,false,false,false,
