time_utc,mode,event,connection_seq,pair,target_coin,reference_coin,reference_scale,signal_side,position_side,position_size,position_entry_px,target_bid,target_ask,target_mid,target_bid_sz,target_ask_sz,target_book_time_ms,target_recv_time_ms,target_recv_lag_ms,target_oracle,target_mark,reference_bid,reference_ask,reference_mid,reference_bid_sz,reference_ask_sz,reference_book_time_ms,reference_recv_time_ms,reference_recv_lag_ms,cross_recv_skew_ms,reference_oracle,reference_mark,long_edge_bps,short_edge_bps,best_edge_bps,gross_edge_bps,oracle_gap_bps,target_spread_bps,target_book_age_ms,reference_book_age_ms,target_book_is_fresh,reference_book_is_fresh,pair_is_synchronized
2026-08-31T14:02:41.481Z,dry_run,snapshot_stale,1,para:UNITREE|xyz:UNITREE,para:UNITREE,xyz:UNITREE,1.0,,,,,83.777,83.784,83.7805000000,0.37,2.46,1788184959524,1788184960277,753,83.791,83.791,83.9240000000,83.9370000000,83.9305000000,41.53,3.31,1788184959524,1788184960304,780,27,83.894,83.924,16.680468,-19.063392,16.680468,,-16.620895,0.835517,1957,1957,false,false,true
2026-08-31T14:02:43.089Z,dry_run,snapshot_stale,1,para:UNITREE|xyz:UNITREE,para:UNITREE,xyz:UNITREE,1.0,,,,,83.777,83.784,83.7805000000,0.37,2.46,1788184959524,1788184960277,753,83.791,83.791,83.9240000000,83.9370000000,83.9305000000,41.53,3.31,1788184959524,1788184960304,780,27,83.894,83.924,16.680468,-19.063392,16.680468,,-16.620895,0.835517,3565,3565,false,false,true
2026-08-31T14:02:44.595Z,dry_run,snapshot_stale,1,para:UNITREE|xyz:UNITREE,para:UNITREE,xyz:UNITREE,1.0,,,,,83.774,83.784,83.7790000000,0.37,2.46,1788184962272,1788184963089,817,83.791,83.791,83.9240000000,83.9360000000,83.9300000000,41.53,2.26,1788184962272,1788184963089,817,0,83.894,83.924,16.680567,-19.301799,16.680567,,-16.561420,1.193617,2323,2323,false,false,true
2026-08-31T14:02:45.661Z,dry_run,snapshot_stale,1,para:UNITREE|xyz:UNITREE,para:UNITREE,xyz:UNITREE,1.0,,,,,83.774,83.784,83.7790000000,0.37,2.46,1788184962272,1788184963089,817,83.791,83.791,83.9240000000,83.9360000000,83.9300000000,41.53,2.26,1788184962272,1788184963089,817,0,83.894,83.924,16.680567,-19.301799,16.680567,,-16.561420,1.193617,3389,3389,false,false,true
2026-08-31T14:02:46.582Z,dry_run,snapshot_stale,1,para:UNITREE|xyz:UNITREE,para:UNITREE,xyz:UNITREE,1.0,,,,,83.774,83.784,83.7790000000,0.37,2.46,1788184962272,1788184963089,817,83.791,83.791,83.9240000000,83.9360000000,83.9300000000,41.53,2.26,1788184962272,1788184963089,817,0,83.894,83.924,16.680567,-19.301799,16.680567,,-16.561420,1.193617,4310,4310,false,false,true
2026-08-31T14:02:47.787Z,dry_run,snapshot_stale,1,para:UNITREE|xyz:UNITREE,para:UNITREE,xyz:UNITREE,1.0,,,,,83.774,83.784,83.7790000000,0.37,2.46,1788184962272,1788184963089,817,83.791,83.791,83.9240000000,83.9360000000,83.9300000000,41.53,2.26,1788184962272,1788184963089,817,0,83.895,83.924,16.680567,-19.301799,16.680567,,-16.561420,1.193617,5515,5515,false,false,true
2026-08-31T14:02:48.739Z,dry_run,snapshot,1,para:UNITREE|xyz:UNITREE,para:UNITREE,xyz:UNITREE,1.0,,,,,83.785,83.803,83.7940000000,0.31,0.38,1788184967553,1788184968013,460,83.791,83.809,83.9240000000,83.9250000000,83.9245000000,10.97,4.52,1788184967553,1788184968013,460,0,83.895,83.924,14.417721,-16.681660,14.417721,,-15.907155,2.148125,1186,1186,true,true,true
2026-08-31T14:02:49.724Z,dry_run,snapshot_stale,1,para:UNITREE|xyz:UNITREE,para:UNITREE,xyz:UNITREE,1.0,,,,,83.785,83.803,83.7940000000,0.31,0.38,1788184967553,1788184968013,460,83.791,83.809,83.9240000000,83.9250000000,83.9245000000,10.97,4.52,1788184967553,1788184968013,460,0,83.895,83.924,14.417721,-16.681660,14.417721,,-15.907155,2.148125,2171,2171,false,false,true
2026-08-31T14:02:50.801Z,dry_run,snapshot_stale,1,para:UNITREE|xyz:UNITREE,para:UNITREE,xyz:UNITREE,1.0,,,,,83.785,83.803,83.7940000000,0.31,0.38,1788184967553,1788184968013,460,83.791,83.809,83.9240000000,83.9250000000,83.9245000000,10.97,4.52,1788184967553,1788184968013,460,0,83.895,83.924,14.417721,-16.681660,14.417721,,-15.907155,2.148125,3248,3248,false,false,true
2026-08-31T14:02:51.736Z,dry_run,snapshot_stale,1,para:UNITREE|xyz:UNITREE,para:UNITREE,xyz:UNITREE,1.0,,,,,83.785,83.803,83.7940000000,0.31,0.38,1788184967553,1788184968013,460,83.791,83.827,83.9240000000,83.9250000000,83.9245000000,10.97,4.52,1788184967553,1788184968013,460,0,83.895,83.924,14.417721,-16.681660,14.417721,,-15.907155,2.148125,4183,4183,false,false,true
