time_utc,mode,event,connection_seq,pair,target_coin,reference_coin,reference_scale,signal_side,position_side,position_size,position_entry_px,target_bid,target_ask,target_mid,target_bid_sz,target_ask_sz,target_book_time_ms,target_recv_time_ms,target_recv_lag_ms,target_oracle,target_mark,reference_bid,reference_ask,reference_mid,reference_bid_sz,reference_ask_sz,reference_book_time_ms,reference_recv_time_ms,reference_recv_lag_ms,cross_recv_skew_ms,reference_oracle,reference_mark,long_edge_bps,short_edge_bps,best_edge_bps,gross_edge_bps,oracle_gap_bps,target_spread_bps,target_book_age_ms,reference_book_age_ms,target_book_is_fresh,reference_book_is_fresh,pair_is_synchronized
2026-08-31T16:22:55.912Z,dry_run,snapshot_stale,1,io:SNDK|xyz:SNDK,io:SNDK,xyz:SNDK,1.0,,,,,1498.3,1498.6,1498.4500000000,2.0532,0.2544,1788193373890,1788193374465,575,1496.4,1498.0,1498.2000000000,1498.3000000000,1498.2500000000,1.668,31.918,1788193373890,1788193374498,608,33,1497.2,1497.9,-2.669781,0.000000,0.000000,,-12.347739,2.002069,2022,2022,false,false,true
2026-08-31T16:22:56.892Z,dry_run,snapshot_stale,1,io:SNDK|xyz:SNDK,io:SNDK,xyz:SNDK,1.0,,,,,1498.3,1498.6,1498.4500000000,2.0532,0.2544,1788193373890,1788193374465,575,1496.4,1498.0,1498.2000000000,1498.3000000000,1498.2500000000,1.668,31.918,1788193373890,1788193374498,608,33,1497.4,1498.2,-2.669781,0.000000,0.000000,,-12.347739,2.002069,3002,3002,false,false,true
2026-08-31T16:22:57.915Z,dry_run,snapshot_stale,1,io:SNDK|xyz:SNDK,io:SNDK,xyz:SNDK,1.0,,,,,1498.3,1498.6,1498.4500000000,2.0532,0.2544,1788193373890,1788193374465,575,1497.6,1498.6,1498.2000000000,1498.3000000000,1498.2500000000,1.668,31.918,1788193373890,1788193374498,608,33,1497.4,1498.2,-2.669781,0.000000,0.000000,,-4.338395,2.002069,4025,4025,false,false,true
2026-08-31T16:22:58.955Z,dry_run,snapshot,1,io:SNDK|xyz:SNDK,io:SNDK,xyz:SNDK,1.0,,,,,1498.3,1498.6,1498.4500000000,0.4072,0.2996,1788193377749,1788193378107,358,1497.6,1498.6,1498.1000000000,1498.2000000000,1498.1500000000,31.371,20.638,1788193377749,1788193378107,358,0,1497.4,1498.2,-3.337450,0.667490,0.667490,,-3.671194,2.002069,1206,1206,true,true,true
2026-08-31T16:23:00.002Z,dry_run,snapshot_stale,1,io:SNDK|xyz:SNDK,io:SNDK,xyz:SNDK,1.0,,,,,1498.3,1498.6,1498.4500000000,0.4072,0.2996,1788193377749,1788193378107,358,1497.6,1498.6,1498.1000000000,1498.2000000000,1498.1500000000,31.371,20.638,1788193377749,1788193378107,358,0,1497.4,1498.2,-3.337450,0.667490,0.667490,,-3.671194,2.002069,2253,2253,false,false,true
2026-08-31T16:23:01.032Z,dry_run,snapshot_stale,1,io:SNDK|xyz:SNDK,io:SNDK,xyz:SNDK,1.0,,,,,1498.3,1498.6,1498.4500000000,0.4072,0.2996,1788193377749,1788193378107,358,1497.6,1498.6,1498.1000000000,1498.2000000000,1498.1500000000,31.371,20.638,1788193377749,1788193378107,358,0,1497.4,1498.2,-3.337450,0.667490,0.667490,,-3.671194,2.002069,3283,3283,false,false,true
2026-08-31T16:23:02.050Z,dry_run,snapshot_stale,1,io:SNDK|xyz:SNDK,io:SNDK,xyz:SNDK,1.0,,,,,1498.3,1498.6,1498.4500000000,0.4072,0.2996,1788193377749,1788193378107,358,1497.6,1498.6,1498.1000000000,1498.2000000000,1498.1500000000,31.371,20.638,1788193377749,1788193378107,358,0,1497.4,1498.2,-3.337450,0.667490,0.667490,,-3.671194,2.002069,4301,4301,false,false,true
2026-08-31T16:23:03.094Z,dry_run,snapshot_stale,1,io:SNDK|xyz:SNDK,io:SNDK,xyz:SNDK,1.0,,,,,1498.3,1498.6,1498.4500000000,0.4072,0.2996,1788193377749,1788193378107,358,1497.6,1498.6,1498.1000000000,1498.2000000000,1498.1500000000,31.371,20.638,1788193377749,1788193378107,358,0,1497.3,1497.5,-3.337450,0.667490,0.667490,,-3.671194,2.002069,5345,5345,false,false,true
2026-08-31T16:23:03.721Z,dry_run,snapshot_stale,1,io:SNDK|xyz:SNDK,io:SNDK,xyz:SNDK,1.0,,,,,1497.8,1497.9,1497.8500000000,0.3764,0.01,1788193383314,1788193383721,407,1497.6,1498.6,1498.1000000000,1498.2000000000,1498.1500000000,31.371,20.638,1788193377749,1788193378107,358,5614,1497.3,1497.5,1.334980,-2.669960,1.334980,,-3.671194,0.667624,407,5972,true,false,false
2026-08-31T16:23:05.132Z,dry_run,snapshot_stale,1,io:SNDK|xyz:SNDK,io:SNDK,xyz:SNDK,1.0,,,,,1497.8,1497.9,1497.8500000000,0.3764,0.01,1788193383314,1788193383721,407,1497.6,1498.6,1497.5000000000,1497.6000000000,1497.5500000000,19.415,40.312,1788193383314,1788193383721,407,0,1497.3,1497.5,-2.671029,1.335515,1.335515,,0.333879,0.667624,1818,1818,false,false,true
2026-08-31T16:23:06.157Z,dry_run,snapshot_stale,1,io:SNDK|xyz:SNDK,io:SNDK,xyz:SNDK,1.0,,,,,1497.8,1497.9,1497.8500000000,0.3764,0.01,1788193383314,1788193383721,407,1497.6,1498.6,1497.5000000000,1497.6000000000,1497.5500000000,19.415,40.312,1788193383314,1788193383721,407,0,1497.0,1497.6,-2.671029,1.335515,1.335515,,0.333879,0.667624,2843,2843,false,false,true
2026-08-31T16:23:07.200Z,dry_run,snapshot_stale,1,io:SNDK|xyz:SNDK,io:SNDK,xyz:SNDK,1.0,,,,,1497.8,1497.9,1497.8500000000,0.3764,0.01,1788193383314,1788193383721,407,1496.8,1498.2,1497.5000000000,1497.6000000000,1497.5500000000,19.415,40.312,1788193383314,1788193383721,407,0,1497.0,1497.6,-2.671029,1.335515,1.335515,,-5.008180,0.667624,3886,3886,false,false,true
2026-08-31T16:23:08.209Z,dry_run,snapshot_stale,1,io:SNDK|xyz:SNDK,io:SNDK,xyz:SNDK,1.0,,,,,1497.8,1497.9,1497.8500000000,0.3764,0.01,1788193383314,1788193383721,407,1496.8,1498.2,1497.5000000000,1497.6000000000,1497.5500000000,19.415,40.312,1788193383314,1788193383721,407,0,1497.0,1497.6,-2.671029,1.335515,1.335515,,-5.008180,0.667624,4895,4895,false,false,true
2026-08-31T16:23:08.829Z,dry_run,snapshot_stale,1,io:SNDK|xyz:SNDK,io:SNDK,xyz:SNDK,1.0,,,,,1498.0,1498.1,1498.0500000000,0.2052,0.0667,1788193388382,1788193388828,446,1496.8,1498.2,1497.5000000000,1497.6000000000,1497.5500000000,19.415,40.312,1788193383314,1788193383721,407,5107,1497.0,1497.6,-4.006544,2.671029,2.671029,,-5.008180,0.667534,447,5515,true,false,false
2026-08-31T16:23:10.204Z,dry_run,snapshot_stale,1,io:SNDK|xyz:SNDK,io:SNDK,xyz:SNDK,1.0,,,,,1498.0,1498.1,1498.0500000000,0.2052,0.0667,1788193388382,1788193388828,446,1496.9,1498.2,1497.6000000000,1497.7000000000,1497.6500000000,22.718,39.179,1788193388382,1788193388829,447,1,1497.0,1497.7,-3.338564,2.003138,2.003138,,-5.007846,0.667534,1822,1822,false,false,true
2026-08-31T16:23:11.211Z,dry_run,snapshot_stale,1,io:SNDK|xyz:SNDK,io:SNDK,xyz:SNDK,1.0,,,,,1498.0,1498.1,1498.0500000000,0.2052,0.0667,1788193388382,1788193388828,446,1496.9,1498.2,1497.6000000000,1497.7000000000,1497.6500000000,22.718,39.179,1788193388382,1788193388829,447,1,1497.0,1497.7,-3.338564,2.003138,2.003138,,-5.007846,0.667534,2829,2829,false,false,true
2026-08-31T16:23:12.216Z,dry_run,snapshot_stale,1,io:SNDK|xyz:SNDK,io:SNDK,xyz:SNDK,1.0,,,,,1498.0,1498.1,1498.0500000000,0.2052,0.0667,1788193388382,1788193388828,446,1496.9,1498.2,1497.6000000000,1497.7000000000,1497.6500000000,22.718,39.179,1788193388382,1788193388829,447,1,1497.0,1497.5,-3.338564,2.003138,2.003138,,-5.007846,0.667534,3834,3834,false,false,true
2026-08-31T16:23:13.200Z,dry_run,snapshot_stale,1,io:SNDK|xyz:SNDK,io:SNDK,xyz:SNDK,1.0,,,,,1498.0,1498.1,1498.0500000000,0.2052,0.0667,1788193388382,1788193388828,446,1496.9,1498.2,1497.6000000000,1497.7000000000,1497.6500000000,22.718,39.179,1788193388382,1788193388829,447,1,1497.0,1497.5,-3.338564,2.003138,2.003138,,-5.007846,0.667534,4818,4818,false,false,true
