time_utc,mode,event,connection_seq,pair,target_coin,reference_coin,reference_scale,signal_side,position_side,position_size,position_entry_px,target_bid,target_ask,target_mid,target_bid_sz,target_ask_sz,target_book_time_ms,target_recv_time_ms,target_recv_lag_ms,target_oracle,target_mark,reference_bid,reference_ask,reference_mid,reference_bid_sz,reference_ask_sz,reference_book_time_ms,reference_recv_time_ms,reference_recv_lag_ms,cross_recv_skew_ms,reference_oracle,reference_mark,long_edge_bps,short_edge_bps,best_edge_bps,gross_edge_bps,oracle_gap_bps,target_spread_bps,target_book_age_ms,reference_book_age_ms,target_book_is_fresh,reference_book_is_fresh,pair_is_synchronized
2026-09-02T19:15:07.335Z,dry_run,snapshot_desynced,2,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,,,,1301.1,1301.5,1301.3000000000,0.391,0.054,1788376506143,1788376506492,349,1300.2,1301.5,1275.8400000000,1276.3100000000,1276.0750000000,0.16,0.03,1788376507110,1788376507229,119,737,,,-201.085359,194.267578,194.267578,,189.056286,3.073849,1192,225,true,true,false
2026-09-02T19:15:07.838Z,dry_run,snapshot_stale,2,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,,,,1301.1,1301.5,1301.3000000000,0.391,0.054,1788376506143,1788376506492,349,1300.2,1301.5,1275.8400000000,1276.3100000000,1276.0750000000,0.16,0.03,1788376507110,1788376507229,119,737,,,-201.085359,194.267578,194.267578,,189.056286,3.073849,1695,728,false,true,false
2026-09-02T19:15:08.340Z,dry_run,snapshot_stale,2,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,,,,1301.1,1301.5,1301.3000000000,0.391,0.054,1788376506143,1788376506492,349,1300.2,1301.5,1275.8400000000,1276.3100000000,1276.0750000000,0.16,0.03,1788376507110,1788376507229,119,737,,,-201.085359,194.267578,194.267578,,189.056286,3.073849,2197,1230,false,true,false
2026-09-02T19:15:08.843Z,dry_run,snapshot_stale,2,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,,,,1301.1,1301.5,1301.3000000000,0.391,0.054,1788376506143,1788376506492,349,1300.2,1301.5,1275.8500000000,1276.5800000000,1276.2150000000,0.10,0.03,1788376508547,1788376508665,118,2173,,,-200.984944,192.130636,192.130636,,187.938553,3.073849,2700,296,false,true,false
2026-09-02T19:15:09.348Z,dry_run,snapshot_stale,2,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,,,,1301.1,1301.5,1301.3000000000,0.391,0.054,1788376506143,1788376506492,349,1300.2,1301.5,1275.8600000000,1276.4000000000,1276.1300000000,0.07,0.02,1788376509164,1788376509303,139,2811,,,-200.919969,193.553948,193.553948,,188.617147,3.073849,3205,184,false,true,false
2026-09-02T19:15:09.853Z,dry_run,snapshot_stale,2,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,,,,1301.1,1301.5,1301.3000000000,0.391,0.054,1788376506143,1788376506492,349,1300.2,1301.5,1275.8600000000,1276.4000000000,1276.1300000000,0.01,0.02,1788376509456,1788376509575,119,3083,,,-200.919969,193.553948,193.553948,,188.617147,3.073849,3710,397,false,true,false
2026-09-02T19:15:10.357Z,dry_run,snapshot_stale,2,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,,,,1301.1,1301.5,1301.3000000000,0.391,0.054,1788376506143,1788376506492,349,1300.2,1301.5,1275.8600000000,1276.4000000000,1276.1300000000,0.02,0.02,1788376510160,1788376510279,119,3787,,,-200.919969,193.553948,193.553948,,188.617147,3.073849,4214,197,false,true,false
2026-09-02T19:15:10.860Z,dry_run,snapshot_stale,2,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,,,,1301.1,1301.5,1301.3000000000,0.391,0.054,1788376506143,1788376506492,349,1300.2,1301.5,1275.8500000000,1276.4000000000,1276.1250000000,0.17,0.02,1788376510411,1788376510531,120,4039,,,-200.999118,193.554707,193.554707,,188.657067,3.073849,4717,449,false,true,false
2026-09-02T19:15:11.363Z,dry_run,snapshot_stale,2,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,,,,1301.1,1301.5,1301.3000000000,0.391,0.054,1788376506143,1788376506492,349,1300.2,1301.5,1275.8500000000,1276.4000000000,1276.1250000000,0.17,0.02,1788376510411,1788376510531,120,4039,,,-200.999118,193.554707,193.554707,,188.657067,3.073849,5220,952,false,true,false
2026-09-02T19:15:11.866Z,dry_run,snapshot_stale,2,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,,,,1301.1,1301.5,1301.3000000000,0.391,0.054,1788376506143,1788376506492,349,1300.2,1301.5,1275.8500000000,1276.4000000000,1276.1250000000,0.17,0.02,1788376510411,1788376510531,120,4039,,,-200.999118,193.554707,193.554707,,188.657067,3.073849,5723,1455,false,true,false
2026-09-02T19:15:12.369Z,dry_run,snapshot_stale,2,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,,,,1301.0,1301.5,1301.2500000000,9.246,0.054,1788376511527,1788376511913,386,1300.3,1301.5,1275.8500000000,1276.4000000000,1276.1250000000,0.17,0.02,1788376510411,1788376510531,120,1382,,,-200.999118,192.771084,192.771084,,189.440690,3.842459,842,1958,true,false,false
2026-09-02T19:15:12.871Z,dry_run,snapshot_stale,2,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,,,,1301.0,1301.5,1301.2500000000,9.246,0.054,1788376511527,1788376511913,386,1300.3,1301.5,1275.8500000000,1276.4000000000,1276.1250000000,0.17,0.02,1788376510411,1788376510531,120,1382,,,-200.999118,192.771084,192.771084,,189.440690,3.842459,1344,2460,true,false,false
2026-09-02T19:15:13.374Z,dry_run,snapshot_stale,2,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,,,,1301.0,1301.5,1301.2500000000,9.246,0.054,1788376511527,1788376511913,386,1300.3,1301.5,1275.8500000000,1276.4000000000,1276.1250000000,0.17,0.02,1788376510411,1788376510531,120,1382,,,-200.999118,192.771084,192.771084,,189.440690,3.842459,1847,2963,false,false,false
2026-09-02T19:15:13.877Z,dry_run,snapshot_stale,2,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,,,,1301.0,1301.5,1301.2500000000,9.246,0.054,1788376511527,1788376511913,386,1300.3,1301.5,1275.8500000000,1276.4000000000,1276.1250000000,0.17,0.02,1788376510411,1788376510531,120,1382,,,-200.999118,192.771084,192.771084,,189.440690,3.842459,2350,3466,false,false,false
2026-09-02T19:15:14.379Z,dry_run,snapshot_stale,2,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,,,,1301.0,1301.5,1301.2500000000,9.246,0.054,1788376511527,1788376511913,386,1300.3,1301.5,1275.8500000000,1276.4000000000,1276.1250000000,0.17,0.02,1788376510411,1788376510531,120,1382,,,-200.999118,192.771084,192.771084,,189.440690,3.842459,2852,3968,false,false,false
2026-09-02T19:15:14.881Z,dry_run,snapshot_stale,2,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,,,,1301.0,1301.5,1301.2500000000,9.246,0.054,1788376511527,1788376511913,386,1300.3,1301.5,1275.8500000000,1276.4000000000,1276.1250000000,0.17,0.02,1788376510411,1788376510531,120,1382,,,-200.999118,192.771084,192.771084,,189.440690,3.842459,3354,4470,false,false,false
2026-09-02T19:15:15.384Z,dry_run,snapshot_stale,2,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,,,,1301.0,1301.5,1301.2500000000,9.246,0.054,1788376511527,1788376511913,386,1300.3,1301.5,1275.8500000000,1276.3400000000,1276.0950000000,0.17,0.03,1788376515105,1788376515223,118,3310,,,-201.003844,193.245801,193.245801,,189.680235,3.842459,3857,279,false,true,false
2026-09-02T19:15:15.887Z,dry_run,snapshot_stale,2,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,,,,1301.0,1301.5,1301.2500000000,9.246,0.054,1788376511527,1788376511913,386,1300.3,1301.5,1275.8500000000,1276.3400000000,1276.0950000000,0.17,0.03,1788376515105,1788376515223,118,3310,,,-201.003844,193.245801,193.245801,,189.680235,3.842459,4360,782,false,true,false
2026-09-02T19:15:16.389Z,dry_run,snapshot_stale,2,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,,,,1301.0,1301.5,1301.2500000000,9.246,0.054,1788376511527,1788376511913,386,1300.3,1301.5,1275.8500000000,1276.3400000000,1276.0950000000,0.17,0.03,1788376515105,1788376515223,118,3310,,,-201.003844,193.245801,193.245801,,189.680235,3.842459,4862,1284,false,true,false
2026-09-02T19:15:16.894Z,dry_run,snapshot_stale,2,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,,,,1301.0,1301.5,1301.2500000000,9.246,0.054,1788376511527,1788376511913,386,1300.3,1301.5,1275.9500000000,1276.4900000000,1276.2200000000,0.03,0.03,1788376516712,1788376516831,119,4918,,,-200.200592,192.051527,192.051527,,188.682202,3.842459,5367,182,false,true,false
2026-09-02T19:15:17.402Z,dry_run,snapshot,2,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,,,,1301.0,1301.5,1301.2500000000,9.243,0.051,1788376516930,1788376517286,356,1300.3,1301.5,1275.9500000000,1276.4900000000,1276.2200000000,0.07,0.03,1788376517187,1788376517305,118,19,,,-200.200592,192.051527,192.051527,,188.682202,3.842459,472,215,true,true,true
2026-09-02T19:15:17.906Z,dry_run,snapshot_desynced,2,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,,,,1301.0,1301.5,1301.2500000000,9.243,0.051,1788376516930,1788376517286,356,1300.3,1301.5,1275.9500000000,1276.4900000000,1276.2200000000,0.06,0.03,1788376517688,1788376517807,119,521,,,-200.200592,192.051527,192.051527,,188.682202,3.842459,976,218,true,true,false
2026-09-02T19:15:18.411Z,dry_run,snapshot_desynced,2,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,,,,1301.0,1301.5,1301.2500000000,9.243,0.051,1788376516930,1788376517286,356,1300.3,1301.5,1275.9000000000,1276.4900000000,1276.1950000000,0.03,0.03,1788376518289,1788376518409,120,1123,,,-200.596304,192.055289,192.055289,,188.881793,3.842459,1481,122,true,true,false
