time_utc,event,mode,pair,target_coin,reference_coin,reference_scale,side,coin,size,price,order_notional,gross_edge_bps,oracle_gap_bps,pnl_bps,reason,target_bid,target_ask,target_mid,reference_bid,reference_ask,reference_mid,target_oracle,target_spread_bps,target_book_age_ms,reference_book_age_ms,raw_json
2026-09-02T21:19:00.133Z,error,dry_run,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,io:OAI,,,,,,,binance: no close frame received or sent,1293.9,1294.2,1294.0500000000,1274.9300000000,1275.2600000000,1275.0950000000,1292.6,,,,"{""source"":""binance"",""error"":""no close frame received or sent""}"
2026-09-02T22:13:20.857Z,error,dry_run,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,io:OAI,,,,,,,hyperliquid: received 1000 (OK) Expired; then sent 1000 (OK) Expired,1294.0,1294.4,1294.2000000000,1274.4300000000,1274.6900000000,1274.5600000000,1290.9,,,,"{""source"":""hyperliquid"",""error"":""received 1000 (OK) Expired; then sent 1000 (OK) Expired""}"
2026-09-03T01:00:58.201Z,error,dry_run,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,io:OAI,,,,,,,hyperliquid: received 1000 (OK) Expired; then sent 1000 (OK) Expired,1351.0,1351.2,1351.1000000000,1318.9900000000,1319.4700000000,1319.2300000000,1350.3,,,,"{""source"":""hyperliquid"",""error"":""received 1000 (OK) Expired; then sent 1000 (OK) Expired""}"
2026-09-03T02:23:00.141Z,error,dry_run,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,io:OAI,,,,,,,binance: no close frame received or sent,1334.9,1335.1,1335.0000000000,1301.5300000000,1301.8300000000,1301.6800000000,1335.3,,,,"{""source"":""binance"",""error"":""no close frame received or sent""}"
2026-09-03T03:30:00.246Z,error,dry_run,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,io:OAI,,,,,,,binance: no close frame received or sent,1336.3,1336.6,1336.4500000000,1299.1800000000,1299.3100000000,1299.2450000000,1335.2,,,,"{""source"":""binance"",""error"":""no close frame received or sent""}"
2026-09-03T04:00:52.442Z,error,dry_run,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,io:OAI,,,,,,,hyperliquid: received 1000 (OK) Expired; then sent 1000 (OK) Expired,1334.0,1334.1,1334.0500000000,1295.5200000000,1295.8300000000,1295.6750000000,1332.6,,,,"{""source"":""hyperliquid"",""error"":""received 1000 (OK) Expired; then sent 1000 (OK) Expired""}"
2026-09-03T05:39:36.676Z,error,dry_run,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,io:OAI,,,,,,,binance: no close frame received or sent,1347.3,1347.6,1347.4500000000,1300.9300000000,1301.7700000000,1301.3500000000,1344.4,,,,"{""source"":""binance"",""error"":""no close frame received or sent""}"
2026-09-03T05:49:04.947Z,error,dry_run,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,io:OAI,,,,,,,binance: no close frame received or sent,1345.9,1346.3,1346.1000000000,1298.4300000000,1298.8000000000,1298.6150000000,1344.0,,,,"{""source"":""binance"",""error"":""no close frame received or sent""}"
2026-09-03T05:51:22.280Z,error,dry_run,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,io:OAI,,,,,,,binance: no close frame received or sent,1348.0,1348.3,1348.1500000000,1300.8700000000,1301.1800000000,1301.0250000000,1344.3,,,,"{""source"":""binance"",""error"":""no close frame received or sent""}"
2026-09-03T05:55:26.153Z,error,dry_run,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,io:OAI,,,,,,,binance: no close frame received or sent,1349.0,1349.3,1349.1500000000,1301.5700000000,1301.8200000000,1301.6950000000,1345.0,,,,"{""source"":""binance"",""error"":""no close frame received or sent""}"
2026-09-03T05:56:41.282Z,error,dry_run,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,io:OAI,,,,,,,binance: no close frame received or sent,1350.4,1350.6,1350.5000000000,1303.6100000000,1303.9700000000,1303.7900000000,1345.6,,,,"{""source"":""binance"",""error"":""no close frame received or sent""}"
2026-09-03T05:57:22.377Z,error,dry_run,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,io:OAI,,,,,,,binance: no close frame received or sent,1349.1,1351.8,1350.4500000000,1301.5300000000,1302.0000000000,1301.7650000000,1345.8,,,,"{""source"":""binance"",""error"":""no close frame received or sent""}"
2026-09-03T05:57:33.767Z,error,dry_run,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,io:OAI,,,,,,,binance: no close frame received or sent,1348.9,1349.1,1349.0000000000,1302.5600000000,1303.1100000000,1302.8350000000,1345.8,,,,"{""source"":""binance"",""error"":""no close frame received or sent""}"
2026-09-03T05:58:10.248Z,error,dry_run,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,io:OAI,,,,,,,binance: no close frame received or sent,1349.2,1349.5,1349.3500000000,1301.0000000000,1301.5100000000,1301.2550000000,1345.9,,,,"{""source"":""binance"",""error"":""no close frame received or sent""}"
2026-09-03T06:14:32.261Z,error,dry_run,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,io:OAI,,,,,,,binance: no close frame received or sent,1351.8,1352.2,1352.0000000000,1301.5400000000,1301.7300000000,1301.6350000000,1348.2,,,,"{""source"":""binance"",""error"":""no close frame received or sent""}"
2026-09-03T06:22:35.370Z,error,dry_run,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,io:OAI,,,,,,,binance: no close frame received or sent,1349.0,1350.6,1349.8000000000,1300.6200000000,1300.9900000000,1300.8050000000,1348.2,,,,"{""source"":""binance"",""error"":""no close frame received or sent""}"
2026-09-03T06:29:43.598Z,error,dry_run,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,io:OAI,,,,,,,binance: no close frame received or sent,1350.4,1350.6,1350.5000000000,1302.0500000000,1302.8200000000,1302.4350000000,1348.1,,,,"{""source"":""binance"",""error"":""no close frame received or sent""}"
2026-09-03T06:30:00.949Z,error,dry_run,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,io:OAI,,,,,,,binance: no close frame received or sent,1352.2,1352.6,1352.4000000000,1301.2700000000,1302.0100000000,1301.6400000000,1348.1,,,,"{""source"":""binance"",""error"":""no close frame received or sent""}"
2026-09-03T06:30:08.170Z,error,dry_run,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,io:OAI,,,,,,,binance: no close frame received or sent,1350.3,1351.8,1351.0500000000,1300.6400000000,1300.9400000000,1300.7900000000,1346.0,,,,"{""source"":""binance"",""error"":""no close frame received or sent""}"
2026-09-03T06:33:03.393Z,error,dry_run,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,io:OAI,,,,,,,binance: no close frame received or sent,1352.3,1352.7,1352.5000000000,1301.6300000000,1302.3100000000,1301.9700000000,1348.3,,,,"{""source"":""binance"",""error"":""no close frame received or sent""}"
2026-09-03T06:33:57.344Z,error,dry_run,io:OAI|binance:OPENAIUSDT,io:OAI,binance:OPENAIUSDT,1.0,,io:OAI,,,,,,,binance: no close frame received or sent,1352.3,1352.7,1352.5000000000,1303.1900000000,1303.4000000000,1303.2950000000,1348.5,,,,"{""source"":""binance"",""error"":""no close frame received or sent""}"
